com.samsung.shealth.tracker.heart_rate,6272009,3
source,tag_id,com.samsung.health.heart_rate.create_sh_ver,com.samsung.health.heart_rate.heart_beat_count,com.samsung.health.heart_rate.start_time,com.samsung.health.heart_rate.custom,com.samsung.health.heart_rate.binning_data,com.samsung.health.heart_rate.modify_sh_ver,com.samsung.health.heart_rate.update_time,com.samsung.health.heart_rate.create_time,com.samsung.health.heart_rate.max,com.samsung.health.heart_rate.min,com.samsung.health.heart_rate.time_offset,com.samsung.health.heart_rate.deviceuuid,com.samsung.health.heart_rate.comment,com.samsung.health.heart_rate.pkg_name,com.samsung.health.heart_rate.end_time,com.samsung.health.heart_rate.datauuid,com.samsung.health.heart_rate.heart_rate
,20000,,0,2022-12-18 01:26:25.743,,,,2022-12-18 01:26:32.960,2022-12-18 01:26:32.960,58.0,58.0,UTC-0500,5vLahzXBCy,,com.sec.android.app.shealth,2022-12-18 01:26:30.086,f92b4705-1efd-4ffc-9ccd-49349e718a78,58.0,
,20000,,0,2022-12-18 01:26:56.748,,,,2022-12-18 01:27:01.732,2022-12-18 01:27:01.732,98.0,98.0,UTC-0500,5vLahzXBCy,,com.sec.android.app.shealth,2022-12-18 01:26:59.104,0234cadd-4750-424d-8fc4-792412e798df,98.0,
,20000,,0,2022-12-18 01:27:22.087,,,,2022-12-18 01:27:28.333,2022-12-18 01:27:28.333,60.0,60.0,UTC-0500,5vLahzXBCy,,com.sec.android.app.shealth,2022-12-18 01:27:26.080,8e14c1b2-bc00-4a12-bbd6-03b5d300302c,60.0,
,20000,,0,2022-12-18 01:27:50.839,,,,2022-12-18 01:27:55.905,2022-12-18 01:27:55.905,92.0,92.0,UTC-0500,5vLahzXBCy,,com.sec.android.app.shealth,2022-12-18 01:27:53.476,eb62aa79-17e1-4309-bbae-8ea864ae0fe0,92.0,
,20000,,0,2022-12-19 05:39:58.855,,,,2022-12-19 05:40:06.205,2022-12-19 05:40:06.205,57.0,57.0,UTC-0500,5vLahzXBCy,,com.sec.android.app.shealth,2022-12-19 05:40:02.982,182999b5-fb98-409c-8614-630c339e98f8,57.0,
,20000,,0,2022-12-26 06:35:12.681,,,,2022-12-26 06:35:19.148,2022-12-26 06:35:19.148,63.0,63.0,UTC-0500,5vLahzXBCy,,com.sec.android.app.shealth,2022-12-26 06:35:16.185,48168c3b-73e1-4704-b4ec-789e2beb64df,63.0,
,20000,,0,2023-01-09 15:08:52.048,,,,2023-01-09 15:09:02.810,2023-01-09 15:09:02.810,55.0,55.0,UTC-0500,5vLahzXBCy,,com.sec.android.app.shealth,2023-01-09 15:08:56.490,c1f313e4-85f5-494b-aa95-6a6f52b1d5de,55.0,
,20000,,0,2023-01-09 15:38:28.154,,,,2023-01-09 15:38:39.482,2023-01-09 15:38:39.482,52.0,52.0,UTC-0500,5vLahzXBCy,,com.sec.android.app.shealth,2023-01-09 15:38:32.750,589e9fa0-b220-4fef-9ea2-bd0ddf0abbe8,52.0,
,20000,,0,2023-01-09 15:38:58.610,,,,2023-01-09 15:39:06.623,2023-01-09 15:39:06.623,54.0,54.0,UTC-0500,5vLahzXBCy,,com.sec.android.app.shealth,2023-01-09 15:39:03.169,c0781283-e436-4fb8-9cff-6f6c312f69cc,54.0,
,20000,,0,2023-01-10 14:55:14.842,,,,2023-01-10 14:55:26.659,2023-01-10 14:55:26.659,58.0,58.0,UTC-0500,5vLahzXBCy,,com.sec.android.app.shealth,2023-01-10 14:55:18.916,253e169f-c2f1-4025-b854-37093410c553,58.0,
,20000,,0,2023-01-15 00:16:28.486,,,,2023-01-15 00:16:36.526,2023-01-15 00:16:36.526,111.0,111.0,UTC-0500,5vLahzXBCy,,com.sec.android.app.shealth,2023-01-15 00:16:32.311,5ced0fb8-f586-4df1-b7df-c7efbd701314,111.0,
,20000,,0,2023-01-15 00:16:49.451,,,,2023-01-15 00:17:02.690,2023-01-15 00:17:02.690,102.0,102.0,UTC-0500,5vLahzXBCy,,com.sec.android.app.shealth,2023-01-15 00:16:52.441,a3406e31-4881-48da-a207-5c40ab91fdf2,102.0,
,20000,,0,2023-01-16 12:46:47.586,,,,2023-01-16 12:48:51.521,2023-01-16 12:48:51.521,80.0,80.0,UTC-0500,5vLahzXBCy,,com.sec.android.app.shealth,2023-01-16 12:46:50.323,a8e74fb5-275c-418e-b9a3-2f44a8165ff8,80.0,
,20000,,0,2023-01-16 15:18:50.207,,,,2023-01-16 15:18:56.223,2023-01-16 15:18:56.223,62.0,62.0,UTC-0500,5vLahzXBCy,,com.sec.android.app.shealth,2023-01-16 15:18:53.801,e7da6ea6-1b28-4b88-b7fc-2d4f0b6e9e5b,62.0,
,20000,,0,2023-02-02 20:54:27.669,,,,2023-02-02 20:55:15.734,2023-02-02 20:55:15.734,93.0,93.0,UTC-0500,5vLahzXBCy,,com.sec.android.app.shealth,2023-02-02 20:54:30.224,a2555c1b-da17-4d02-b302-e0344ce0761a,93.0,
,20000,,0,2023-02-03 04:55:01.032,,,,2023-02-03 04:56:43.023,2023-02-03 04:56:43.023,56.0,56.0,UTC-0500,5vLahzXBCy,,com.sec.android.app.shealth,2023-02-03 04:56:34.536,8c453bff-d87f-47ad-91aa-0d6d8d2962a7,56.0,
,20000,,0,2023-02-03 04:56:58.989,,,,2023-02-03 04:57:06.320,2023-02-03 04:57:06.320,53.0,53.0,UTC-0500,5vLahzXBCy,,com.sec.android.app.shealth,2023-02-03 04:57:03.453,2be6a616-3ac3-423b-a852-5753fd48db77,53.0,
