com.samsung.shealth.step_daily_trend,6272009,6
binning_data,update_time,create_time,source_pkg_name,source_type,count,speed,distance,calorie,deviceuuid,pkg_name,datauuid,day_time
eeabc2ce-14fd-4286-9c5c-59392c971ba5.binning_data.json,2020-12-19 03:54:42.655,2020-12-18 16:56:13.360,com.sec.android.app.shealth,-2,2314,1.2234361,1714.44,88.149994,VfS0qUERdZ,com.sec.android.app.shealth,eeabc2ce-14fd-4286-9c5c-59392c971ba5,1608249600000,
9b815d71-7704-4e37-b5b6-868ed1004e87.binning_data.json,2020-12-19 05:00:19.710,2020-12-19 05:00:19.710,com.sec.android.app.shealth,0,2314,1.2234361,1714.44,88.149994,5vLahzXBCy,com.sec.android.app.shealth,9b815d71-7704-4e37-b5b6-868ed1004e87,1608249600000,
998bd732-9b6e-4522-93ee-a9fe57351be7.binning_data.json,2020-12-20 04:49:54.197,2020-12-19 16:01:30.737,com.sec.android.app.shealth,-2,1208,1.2552221,901.27,44.13,VfS0qUERdZ,com.sec.android.app.shealth,998bd732-9b6e-4522-93ee-a9fe57351be7,1608336000000,
b5d41a74-c240-4aa9-b1fa-8555df050bf6.binning_data.json,2020-12-20 05:00:00.885,2020-12-20 05:00:00.885,com.sec.android.app.shealth,0,1208,1.2552221,901.27,44.13,5vLahzXBCy,com.sec.android.app.shealth,b5d41a74-c240-4aa9-b1fa-8555df050bf6,1608336000000,
bea515e3-96eb-48d8-9288-888258367cac.binning_data.json,2020-12-21 02:20:05.530,2020-12-20 05:26:42.195,com.sec.android.app.shealth,-2,745,1.2537392,555.98,27.05,VfS0qUERdZ,com.sec.android.app.shealth,bea515e3-96eb-48d8-9288-888258367cac,1608422400000,
96ad285e-e535-4fb1-addc-68480f247d08.binning_data.json,2020-12-21 05:00:01.415,2020-12-21 05:00:01.415,com.sec.android.app.shealth,0,745,1.2537392,555.98,27.05,5vLahzXBCy,com.sec.android.app.shealth,96ad285e-e535-4fb1-addc-68480f247d08,1608422400000,
b200e749-51ea-4b40-aeee-5d801bac7e6a.binning_data.json,2020-12-22 03:07:23.008,2020-12-21 13:52:03.010,com.sec.android.app.shealth,-2,1125,1.2057319,829.27997,41.03,VfS0qUERdZ,com.sec.android.app.shealth,b200e749-51ea-4b40-aeee-5d801bac7e6a,1608508800000,
212b75c5-d8e6-4a68-a04e-17d1b15f2528.binning_data.json,2020-12-22 05:00:01.264,2020-12-22 05:00:01.264,com.sec.android.app.shealth,0,1125,1.2057319,829.27997,41.03,5vLahzXBCy,com.sec.android.app.shealth,212b75c5-d8e6-4a68-a04e-17d1b15f2528,1608508800000,
c8aebc06-9d5f-4455-abc0-af53726353d4.binning_data.json,2020-12-24 05:00:02.040,2020-12-22 15:35:56.659,com.sec.android.app.shealth,-2,298,1.2424146,220.05,10.99,VfS0qUERdZ,com.sec.android.app.shealth,c8aebc06-9d5f-4455-abc0-af53726353d4,1608595200000,
6148a539-3ec1-4b97-b5e8-002271e18b27.binning_data.json,2020-12-23 05:02:18.499,2020-12-23 05:00:01.516,com.sec.android.app.shealth,0,298,1.2424146,220.05,10.99,5vLahzXBCy,com.sec.android.app.shealth,6148a539-3ec1-4b97-b5e8-002271e18b27,1608595200000,
