com.samsung.shealth.rewards,6272009,5
number_of_streak,start_time,exercise_type,device_type,exercise_session_id,update_time,create_time,source_pkg_name,program_id,title,time_offset,extra_data,deviceuuid,pkg_name,controller_id,end_time,datauuid,is_visible
,2021-09-16 04:00:00.000,,10009,,2021-09-22 04:00:02.787,2021-09-16 19:14:54.794,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":7266}",5vLahzXBCy,com.sec.android.app.shealth,tracker.pedometer,2021-09-16 04:00:00.000,514c49f3-0da1-4264-9d39-030565c8fc74,1,
,2021-09-17 04:00:00.000,,10009,,2021-09-23 04:51:47.920,2021-09-17 19:34:16.074,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":6857}",5vLahzXBCy,com.sec.android.app.shealth,tracker.pedometer,2021-09-17 04:00:00.000,0516b815-9e69-4d82-ab94-dcaf63b58918,1,
,2021-09-20 04:00:00.000,,10009,,2021-09-26 04:01:18.285,2021-09-20 18:10:23.975,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":10228}",5vLahzXBCy,com.sec.android.app.shealth,tracker.pedometer,2021-09-20 04:00:00.000,9476bcfc-45f0-43c7-a5ac-ff8e7623e1ba,1,
,2021-09-21 04:00:00.000,,10009,,2021-09-27 04:00:38.746,2021-09-21 18:44:28.113,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":8524}",5vLahzXBCy,com.sec.android.app.shealth,tracker.pedometer,2021-09-21 04:00:00.000,b6b0e839-e629-4128-a630-9e61f6bc02e1,1,
,2021-09-24 04:00:00.000,,10009,,2021-09-30 04:07:26.809,2021-09-24 16:46:36.693,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":8999}",5vLahzXBCy,com.sec.android.app.shealth,tracker.pedometer,2021-09-24 04:00:00.000,6b4c1eef-2e3b-4906-bb33-5c354de1ee75,1,
,2021-09-27 04:00:00.000,,10009,,2021-10-03 04:04:29.360,2021-09-27 18:30:59.527,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":9720}",5vLahzXBCy,com.sec.android.app.shealth,tracker.pedometer,2021-09-27 04:00:00.000,12e6c8a7-0bbf-4c69-9edb-0d65bc4e4edc,1,
,2021-09-28 04:00:00.000,,10009,,2021-10-04 04:24:13.706,2021-09-28 18:34:31.843,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":10400}",5vLahzXBCy,com.sec.android.app.shealth,tracker.pedometer,2021-09-28 04:00:00.000,3a84398c-86ad-440c-9886-82e135375de2,1,
,2021-09-29 04:00:00.000,,10009,,2021-10-05 04:00:12.701,2021-09-29 18:48:21.713,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":9467}",5vLahzXBCy,com.sec.android.app.shealth,tracker.pedometer,2021-09-29 04:00:00.000,ebd28a72-96b6-4e3d-9cdc-d61a20d5a9f9,1,
,2021-09-30 04:00:00.000,,10009,,2021-10-06 04:00:03.034,2021-09-30 18:51:25.991,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":9003}",5vLahzXBCy,com.sec.android.app.shealth,tracker.pedometer,2021-09-30 04:00:00.000,7d7c49de-bc9e-482f-89be-fe3cd15a0ee9,1,
,2021-10-05 04:00:00.000,,10009,,2021-10-11 04:00:04.076,2021-10-05 19:11:46.719,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":7480}",5vLahzXBCy,com.sec.android.app.shealth,tracker.pedometer,2021-10-05 04:00:00.000,535ad7d0-e516-4b3b-8ba0-bf427ba0fb81,1,
