com.samsung.shealth.food_favorite,6272009,1
amount,food_type,update_time,create_time,name,unit,favoriteid,calorie,deviceuuid,pkg_name,datauuid,food_info_id
0.0,2,2024-02-13 04:46:30.162,2024-02-13 04:46:30.162,6f25ba1a-12c9-4670-97ed-58e0e398f92f,,6f25ba1a-12c9-4670-97ed-58e0e398f92f,0.0,5vLahzXBCy,com.sec.android.app.shealth,05359ba5-7fed-4f19-98b7-8b363e17b736,c6d70c71-a45e-46c8-a832-bd9ed5a36304,
0.0,2,2024-02-13 14:33:03.705,2024-02-13 14:33:03.705,82defb6b-2b2a-478c-8148-cdd7a7b87f4a,,82defb6b-2b2a-478c-8148-cdd7a7b87f4a,0.0,5vLahzXBCy,com.sec.android.app.shealth,5a9f5821-7e20-4927-9e17-f5a7a3bbea12,7be7f60c-0aeb-4e3f-aa26-bb7b4a1cab7c,
0.0,2,2024-02-13 14:33:03.705,2024-02-13 14:33:03.705,82defb6b-2b2a-478c-8148-cdd7a7b87f4a,,82defb6b-2b2a-478c-8148-cdd7a7b87f4a,0.0,5vLahzXBCy,com.sec.android.app.shealth,fdc05d09-e908-4f85-94bf-504b2c53181a,3397b60c-2417-40ca-9376-0fef7aafcdb1,
1.0,3,2024-02-14 04:06:52.753,2024-02-14 04:06:52.753,Chicken delight,120001,d5aac130-0967-46e3-9af1-c0415c0f828d,850.0,5vLahzXBCy,com.sec.android.app.shealth,d2f88860-d66e-4c0d-ad8f-a9a4f2ef6a94,b9628f14-5391-404a-b1ba-f189ce92a141,
0.0,2,2024-02-14 04:06:58.653,2024-02-14 04:06:58.653,d2b38785-096c-4792-9aa2-52aba555aa7d,,d2b38785-096c-4792-9aa2-52aba555aa7d,0.0,5vLahzXBCy,com.sec.android.app.shealth,c9b81521-caa9-4b5b-880c-0700b054d947,b9628f14-5391-404a-b1ba-f189ce92a141,
0.0,2,2024-02-14 04:07:29.284,2024-02-14 04:07:29.284,645f83f4-a3df-4202-b57f-2c2427968c57,,645f83f4-a3df-4202-b57f-2c2427968c57,0.0,5vLahzXBCy,com.sec.android.app.shealth,e6ca6820-5540-47da-9231-d664fc48227f,a7452c14-61b5-4fde-b565-56d533f4ea1b,
0.0,2,2024-02-14 04:07:46.013,2024-02-14 04:07:46.013,c501613d-d029-4f3c-80f8-0a38c4464385,,c501613d-d029-4f3c-80f8-0a38c4464385,0.0,5vLahzXBCy,com.sec.android.app.shealth,ab1d052a-c730-40ad-a177-4d6f18a4603f,a7452c14-61b5-4fde-b565-56d533f4ea1b,
0.0,2,2024-02-14 04:07:46.014,2024-02-14 04:07:46.014,c501613d-d029-4f3c-80f8-0a38c4464385,,c501613d-d029-4f3c-80f8-0a38c4464385,0.0,5vLahzXBCy,com.sec.android.app.shealth,444265a7-492a-41b1-bba5-63f71501427f,4f45e67c-5b31-46fe-ae03-3fce3846b6e5,
0.0,2,2024-02-14 04:08:37.710,2024-02-14 04:08:37.710,6f26b3a1-1c52-4874-8077-70e7c2ba2cb5,,6f26b3a1-1c52-4874-8077-70e7c2ba2cb5,0.0,5vLahzXBCy,com.sec.android.app.shealth,354befe1-77fb-4632-926b-1cc82072fc23,384b960a-a644-46e4-bb37-4d7b44e9f587,
0.0,2,2024-02-14 04:10:22.904,2024-02-14 04:10:22.904,d2a3a7d7-8173-4cad-b64d-1c17dafae597,,d2a3a7d7-8173-4cad-b64d-1c17dafae597,0.0,5vLahzXBCy,com.sec.android.app.shealth,f535e2d7-fadd-4df2-8ca2-d308b02bde4c,3397b60c-2417-40ca-9376-0fef7aafcdb1,
0.0,2,2024-02-14 04:15:15.496,2024-02-14 04:15:15.496,3864cd96-4fbc-486d-95ac-2971fce842c2,,3864cd96-4fbc-486d-95ac-2971fce842c2,0.0,5vLahzXBCy,com.sec.android.app.shealth,7e7fae77-9dd3-4ece-af36-65f67ebd6e1c,b9628f14-5391-404a-b1ba-f189ce92a141,
0.0,2,2024-02-14 04:15:15.496,2024-02-14 04:15:15.496,3864cd96-4fbc-486d-95ac-2971fce842c2,,3864cd96-4fbc-486d-95ac-2971fce842c2,0.0,5vLahzXBCy,com.sec.android.app.shealth,44fcb96b-a6e5-4401-8ea6-f5c60baa4ed0,7f6df23c-421f-4299-8f40-c54db0d7a0ce,
0.0,2,2024-02-14 14:58:33.768,2024-02-14 14:58:33.768,3f285aa7-16d9-4ad8-8a6e-2ef0242500b1,,3f285aa7-16d9-4ad8-8a6e-2ef0242500b1,0.0,5vLahzXBCy,com.sec.android.app.shealth,40bc3383-7c19-4b4a-9fcb-8f9ee1d983e7,7be7f60c-0aeb-4e3f-aa26-bb7b4a1cab7c,
0.0,2,2024-02-14 14:58:33.768,2024-02-14 14:58:33.768,3f285aa7-16d9-4ad8-8a6e-2ef0242500b1,,3f285aa7-16d9-4ad8-8a6e-2ef0242500b1,0.0,5vLahzXBCy,com.sec.android.app.shealth,5e72243e-a319-4bea-90ee-dc53791ccc5c,3397b60c-2417-40ca-9376-0fef7aafcdb1,
0.0,2,2024-02-14 20:09:46.676,2024-02-14 20:09:46.676,33142cf1-b2bc-4ef0-aec2-812058f39451,,33142cf1-b2bc-4ef0-aec2-812058f39451,0.0,5vLahzXBCy,com.sec.android.app.shealth,49417d4c-eeac-4849-8b83-3f1f5c994ec1,7be7f60c-0aeb-4e3f-aa26-bb7b4a1cab7c,
0.0,2,2024-02-14 20:09:46.676,2024-02-14 20:09:46.676,33142cf1-b2bc-4ef0-aec2-812058f39451,,33142cf1-b2bc-4ef0-aec2-812058f39451,0.0,5vLahzXBCy,com.sec.android.app.shealth,82c54389-e600-4ee7-91c4-7145e6ecc08a,3397b60c-2417-40ca-9376-0fef7aafcdb1,
0.0,2,2024-02-14 20:09:46.676,2024-02-14 20:09:46.676,33142cf1-b2bc-4ef0-aec2-812058f39451,,33142cf1-b2bc-4ef0-aec2-812058f39451,0.0,5vLahzXBCy,com.sec.android.app.shealth,0f438e4a-f89e-4b37-aa2b-50695b31d170,2c236ef4-d06f-4730-986d-101a8cb61328,
0.0,2,2024-02-15 12:27:21.865,2024-02-15 12:27:21.865,038afe53-01e9-456a-9b8d-a4d1add93c71,,038afe53-01e9-456a-9b8d-a4d1add93c71,0.0,5vLahzXBCy,com.sec.android.app.shealth,050f4d40-4a3e-4027-86a0-e0c9e15ecb4d,c6d70c71-a45e-46c8-a832-bd9ed5a36304,
