com.samsung.shealth.sleep,6272009,8
original_efficiency,mental_recovery,factor_01,factor_02,factor_03,factor_04,factor_05,factor_06,factor_07,factor_08,factor_09,factor_10,integrated_id,has_sleep_data,bedtime_detection_delay,wakeup_time_detection_delay,total_rem_duration,combined_id,sleep_type,sleep_latency,data_version,physical_recovery,original_wake_up_time,movement_awakening,is_integrated,original_bed_time,goal_bed_time,quality,extra_data,goal_wake_up_time,sleep_cycle,total_light_duration,efficiency,sleep_score,sleep_duration,stage_analyzed_type,com.samsung.health.sleep.create_sh_ver,com.samsung.health.sleep.start_time,com.samsung.health.sleep.custom,com.samsung.health.sleep.modify_sh_ver,com.samsung.health.sleep.update_time,com.samsung.health.sleep.create_time,com.samsung.health.sleep.time_offset,com.samsung.health.sleep.deviceuuid,com.samsung.health.sleep.comment,com.samsung.health.sleep.pkg_name,com.samsung.health.sleep.end_time,com.samsung.health.sleep.datauuid
,74.0,26,26,0,1,1,92,92,0,0,2,,0,,,,,-1,,7,49.0,,1.0,,,,,297eb8e1-a659-4d4d-875d-c7e2657060d0.extra_data.json,,1,,98.0,64,94,,62600630,2024-01-14 16:32:00.000,,62600630,2024-01-14 18:31:28.574,2024-01-14 18:31:22.586,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-01-14 18:06:00.000,297eb8e1-a659-4d4d-875d-c7e2657060d0,
,75.0,29,29,33,0,39,268,256,0,22,0,,0,,,,,-1,,7,42.0,2024-01-15 13:35:00.000,36.0,,2024-01-15 09:00:00.000,,,8d3dd4a4-74da-4a3e-9c63-de44c0ed2a20.extra_data.json,,1,,85.0,56,268,,62600630,2024-01-15 09:00:00.000,,62600630,2024-01-15 14:03:20.136,2024-01-15 14:02:43.034,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-01-15 13:28:00.000,8d3dd4a4-74da-4a3e-9c63-de44c0ed2a20,
,73.0,0,0,1,2,3,78,78,0,0,0,,0,,,,,-1,,7,8.0,2024-01-15 17:13:00.000,5.0,,2024-01-15 15:47:00.000,,,12d15774-f2ec-4d44-ad68-ac5425a179b0.extra_data.json,,1,,96.0,43,78,,62600630,2024-01-15 15:47:00.000,,62600630,2024-01-15 17:20:51.378,2024-01-15 17:20:45.343,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-01-15 17:05:00.000,12d15774-f2ec-4d44-ad68-ac5425a179b0,
,66.0,20,63,0,14,26,442,65,1,7,0,,0,,,,,-1,,7,71.0,2024-01-18 12:03:00.000,7.0,,2024-01-18 04:37:00.000,,,07e371aa-6a7d-41bd-bcf2-9eea2e7147f2.extra_data.json,,4,,94.0,90,442,,62600630,2024-01-18 04:37:00.000,,62600630,2024-01-18 12:09:29.258,2024-01-18 12:08:47.541,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-01-18 11:59:00.000,07e371aa-6a7d-41bd-bcf2-9eea2e7147f2,
,70.0,0,32,0,0,4,188,0,0,0,0,,0,,,,,-1,,7,36.0,2024-01-24 10:44:00.000,2.0,,2024-01-24 07:15:00.000,,,5d584df3-9a02-4b43-861a-82e58cc6dfbd.extra_data.json,,0,,97.0,48,188,,62610110,2024-01-24 07:15:00.000,,62610110,2024-01-24 10:54:38.509,2024-01-24 10:54:29.903,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-01-24 10:23:00.000,5d584df3-9a02-4b43-861a-82e58cc6dfbd,
,53.0,43,43,13,17,38,243,155,1,28,0,,0,,,,,-1,,7,53.0,2024-01-25 12:01:00.000,36.0,,2024-01-25 07:53:00.000,,,9b3d43a6-49af-4dbe-bc42-442d3297808f.extra_data.json,,2,,84.0,55,243,,62610110,2024-01-25 07:53:00.000,,62610110,2024-01-25 12:01:07.096,2024-01-25 12:01:00.931,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-01-25 11:56:00.000,9b3d43a6-49af-4dbe-bc42-442d3297808f,
,70.0,0,11,0,0,14,78,0,0,9,5,,0,,,,ff76563a-577d-41b0-abe8-9981a62189f6,-1,,7,22.0,,29.0,,,,,11b1625c-8378-4b93-b4c6-e0f048cd044d.extra_data.json,,0,,83.0,38,83,,62610110,2024-01-29 07:27:00.000,,62610110,2024-01-29 11:43:13.060,2024-01-29 09:19:07.916,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-01-29 08:50:00.000,11b1625c-8378-4b93-b4c6-e0f048cd044d,
,73.0,15,15,3,2,5,103,103,0,0,4,,0,,,,ff76563a-577d-41b0-abe8-9981a62189f6,-1,,7,31.0,2024-01-29 11:15:00.000,8.0,,2024-01-29 09:14:00.000,,,9f69d041-a47d-4e06-b204-18639fbbca6e.extra_data.json,,1,,91.0,60,107,,62610110,2024-01-29 09:14:00.000,,62610110,2024-01-29 11:43:13.116,2024-01-29 11:40:52.271,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-01-29 11:01:00.000,9f69d041-a47d-4e06-b204-18639fbbca6e,
,73.0,29,30,1,2,10,229,153,0,0,0,,0,,,,,-1,,7,44.0,2024-01-30 11:44:00.000,5.0,,2024-01-30 07:43:00.000,,,00c05cb6-872e-4c87-9d3c-a675033e71dc.extra_data.json,,1,,95.0,64,229,,62610110,2024-01-30 07:43:00.000,,62610110,2024-01-30 11:55:02.368,2024-01-30 11:54:55.999,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-01-30 11:32:00.000,00c05cb6-872e-4c87-9d3c-a675033e71dc,
,45.0,46,46,8,20,46,428,163,2,30,0,,0,,,,,-1,,7,65.0,,23.0,,,,,6e15a595-6bba-4f89-aa8e-1b3d41ea3a6c.extra_data.json,,3,,89.0,80,428,,62610110,2024-02-03 07:04:00.000,,62610110,2024-02-03 14:12:50.387,2024-02-03 14:12:34.598,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-03 14:12:00.000,6e15a595-6bba-4f89-aa8e-1b3d41ea3a6c,
