com.samsung.shealth.activity.day_summary,6272009,6
movement_type,create_sh_ver,energy_type,exercise_time,step_count,exercise_calorie_target,active_time,target,others_time,modify_sh_ver,update_time,floors_target,create_time,floor_count,dynamic_active_time_target,exercise_time_target,goal,longest_active_time,score,move_hourly_count,duration_type,move_hourly_target,distance,dynamic_active_time,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
,,,,0,,0,,0,,2020-12-08 18:26:48.169,,2020-12-08 18:26:48.169,,,,-1,0,0,,,,0.0,,0.0,f7311206-c784-4d8f-a42f-075eec7a5be2.extra_data.json,5vLahzXBCy,0,com.sec.android.app.shealth,0,-1,f7311206-c784-4d8f-a42f-075eec7a5be2,2020-11-27 00:00:00.000,
,,,,0,,0,,0,,2020-12-08 18:26:48.296,,2020-12-08 18:26:48.296,,,,-1,0,0,,,,0.0,,0.0,9a40541a-c84d-4692-a7f7-a9174ef9a2d5.extra_data.json,5vLahzXBCy,0,com.sec.android.app.shealth,0,-1,9a40541a-c84d-4692-a7f7-a9174ef9a2d5,2020-11-28 00:00:00.000,
,,,,0,,0,,0,,2020-12-08 18:26:48.412,,2020-12-08 18:26:48.412,,,,-1,0,0,,,,0.0,,0.0,4f749673-58fc-427a-8260-803b6fa412a4.extra_data.json,5vLahzXBCy,0,com.sec.android.app.shealth,0,-1,4f749673-58fc-427a-8260-803b6fa412a4,2020-11-29 00:00:00.000,
,,,,0,,0,,0,,2020-12-08 18:26:48.525,,2020-12-08 18:26:48.525,,,,-1,0,0,,,,0.0,,0.0,23faee40-f533-4dd9-ae54-4ee8d5205853.extra_data.json,5vLahzXBCy,0,com.sec.android.app.shealth,0,-1,23faee40-f533-4dd9-ae54-4ee8d5205853,2020-11-30 00:00:00.000,
,,,,0,,0,,0,,2020-12-08 18:26:48.613,,2020-12-08 18:26:48.613,,,,-1,0,0,,,,0.0,,0.0,709cfe1b-e9ee-494f-8711-b49fb6662a40.extra_data.json,5vLahzXBCy,0,com.sec.android.app.shealth,0,-1,709cfe1b-e9ee-494f-8711-b49fb6662a40,2020-12-01 00:00:00.000,
,,,,0,,0,,0,,2020-12-08 18:26:48.736,,2020-12-08 18:26:48.736,,,,-1,0,0,,,,0.0,,0.0,efd4eb20-46db-4682-a8ec-7937910e7653.extra_data.json,5vLahzXBCy,0,com.sec.android.app.shealth,0,-1,efd4eb20-46db-4682-a8ec-7937910e7653,2020-12-02 00:00:00.000,
,,,,0,,0,,0,,2020-12-08 18:26:48.835,,2020-12-08 18:26:48.835,,,,-1,0,0,,,,0.0,,0.0,0b9aa89d-b1b2-41c8-9d38-ffd92d18003c.extra_data.json,5vLahzXBCy,0,com.sec.android.app.shealth,0,-1,0b9aa89d-b1b2-41c8-9d38-ffd92d18003c,2020-12-03 00:00:00.000,
,,,,0,,0,,0,,2020-12-08 18:26:48.916,,2020-12-08 18:26:48.916,,,,-1,0,0,,,,0.0,,0.0,2ffe312f-af40-4c9e-878a-d5771d488433.extra_data.json,5vLahzXBCy,0,com.sec.android.app.shealth,0,-1,2ffe312f-af40-4c9e-878a-d5771d488433,2020-12-04 00:00:00.000,
,,,,0,,0,,0,,2020-12-08 18:26:49.007,,2020-12-08 18:26:49.007,,,,-1,0,0,,,,0.0,,0.0,1947f5bb-7509-4037-8043-f2cc342980d8.extra_data.json,5vLahzXBCy,0,com.sec.android.app.shealth,0,-1,1947f5bb-7509-4037-8043-f2cc342980d8,2020-12-05 00:00:00.000,
,,,,0,,0,,0,,2020-12-08 18:26:49.151,,2020-12-08 18:26:49.151,,,,-1,0,0,,,,0.0,,0.0,9dfd8798-c23a-40d5-844b-17dca1d53778.extra_data.json,5vLahzXBCy,0,com.sec.android.app.shealth,0,-1,9dfd8798-c23a-40d5-844b-17dca1d53778,2020-12-06 00:00:00.000,
